month,admtyp,sex,race,age_group,county,crime_class,n
2018-01-01,Court admission,Female,White,45-54,Cook,Drug,3
2018-01-01,Court admission,Female,White,45-54,DuPage,Person,1
2018-01-01,Court admission,Female,White,45-54,Grundy,Drug,1
2018-01-01,Court admission,Female,White,45-54,Kane,Property,1
2018-01-01,Court admission,Female,White,45-54,Madison,Property,1
2018-01-01,Court admission,Female,White,45-54,Saline,Drug,1
2018-01-01,Court admission,Female,White,45-54,Will,Public Order,1
2018-01-01,Court admission,Female,White,45-54,Woodford,Drug,1
2018-01-01,Court admission,Female,White,55-64,Grundy,Property,1
2018-01-01,Court admission,Female,White,55-64,Lawrence,Drug,1
2018-01-01,Court admission,Female,White,55-64,Livingston,Person,1
2018-01-01,Court admission,Male,American Indian,20-24,Hamilton,Drug,1
2018-01-01,Court admission,Male,American Indian,25-29,Fulton,Person,1
2018-01-01,Court admission,Male,American Indian,30-34,Morgan,Public Order,1
2018-01-01,Court admission,Male,American Indian,45-54,Cook,Public Order,1
2018-01-01,Court admission,Male,Asian,20-24,DuPage,Drug,1
2018-01-01,Court admission,Male,Asian,20-24,Will,Drug,1
2018-01-01,Court admission,Male,Asian,35-44,Cook,Person,1
2018-01-01,Court admission,Male,Asian,35-44,Kane,Person,1
2018-01-01,Court admission,Male,Asian,45-54,Cook,Person,2
2018-01-01,Court admission,Male,Bi-Racial,35-44,Effingham,Property,1
2018-01-01,Court admission,Male,Black,18-19,Champaign,Person,1
2018-01-01,Court admission,Male,Black,18-19,Champaign,Public Order,1
2018-01-01,Court admission,Male,Black,18-19,Cook,Drug,3
2018-01-01,Court admission,Male,Black,18-19,Cook,Person,4
2018-01-01,Court admission,Male,Black,18-19,Cook,Property,3
2018-01-01,Court admission,Male,Black,18-19,Cook,Public Order,8
2018-01-01,Court admission,Male,Black,18-19,DuPage,Person,1
2018-01-01,Court admission,Male,Black,18-19,DuPage,Property,1
2018-01-01,Court admission,Male,Black,18-19,Madison,Person,2
2018-01-01,Court admission,Male,Black,18-19,McLean,Property,1
2018-01-01,Court admission,Male,Black,18-19,Peoria,Person,2
2018-01-01,Court admission,Male,Black,18-19,Sangamon,Property,1
2018-01-01,Court admission,Male,Black,18-19,St. Clair,Person,1
2018-01-01,Court admission,Male,Black,18-19,Will,Property,1
2018-01-01,Court admission,Male,Black,18-19,Will,Public Order,1
2018-01-01,Court admission,Male,Black,18-19,Winnebago,Person,1
2018-01-01,Court admission,Male,Black,20-24,Adams,Person,1
2018-01-01,Court admission,Male,Black,20-24,Adams,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Champaign,Drug,2
2018-01-01,Court admission,Male,Black,20-24,Champaign,Person,1
2018-01-01,Court admission,Male,Black,20-24,Champaign,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Coles,Drug,1
2018-01-01,Court admission,Male,Black,20-24,Coles,Person,1
2018-01-01,Court admission,Male,Black,20-24,Cook,Drug,12
2018-01-01,Court admission,Male,Black,20-24,Cook,Person,33
2018-01-01,Court admission,Male,Black,20-24,Cook,Property,12
2018-01-01,Court admission,Male,Black,20-24,Cook,Public Order,42
2018-01-01,Court admission,Male,Black,20-24,DeKalb,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,DuPage,Person,1
2018-01-01,Court admission,Male,Black,20-24,DuPage,Property,3
2018-01-01,Court admission,Male,Black,20-24,Jefferson,Person,1
2018-01-01,Court admission,Male,Black,20-24,Jefferson,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Kane,Person,2
2018-01-01,Court admission,Male,Black,20-24,Kendall,Property,2
2018-01-01,Court admission,Male,Black,20-24,Lake,Property,1
2018-01-01,Court admission,Male,Black,20-24,Lake,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Lee,Person,1
2018-01-01,Court admission,Male,Black,20-24,Macon,Person,1
2018-01-01,Court admission,Male,Black,20-24,Macon,Property,1
2018-01-01,Court admission,Male,Black,20-24,Macon,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Madison,Person,2
2018-01-01,Court admission,Male,Black,20-24,Madison,Public Order,2
2018-01-01,Court admission,Male,Black,20-24,McHenry,Drug,1
2018-01-01,Court admission,Male,Black,20-24,McLean,Drug,1
2018-01-01,Court admission,Male,Black,20-24,McLean,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,St. Clair,Person,5
2018-01-01,Court admission,Male,Black,20-24,St. Clair,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Union,Person,1
2018-01-01,Court admission,Male,Black,20-24,Vermilion,Drug,1
2018-01-01,Court admission,Male,Black,20-24,Vermilion,Public Order,1
2018-01-01,Court admission,Male,Black,20-24,Will,Person,1
2018-01-01,Court admission,Male,Black,20-24,Will,Property,1
2018-01-01,Court admission,Male,Black,20-24,Winnebago,Drug,1
2018-01-01,Court admission,Male,Black,20-24,Winnebago,Person,2
2018-01-01,Court admission,Male,Black,20-24,Winnebago,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Cook,Drug,28
2018-01-01,Court admission,Male,Black,25-29,Cook,Person,21
2018-01-01,Court admission,Male,Black,25-29,Cook,Property,12
2018-01-01,Court admission,Male,Black,25-29,Cook,Public Order,36
2018-01-01,Court admission,Male,Black,25-29,Jefferson,Person,1
2018-01-01,Court admission,Male,Black,25-29,Kane,Drug,1
2018-01-01,Court admission,Male,Black,25-29,Kane,Person,1
2018-01-01,Court admission,Male,Black,25-29,Kane,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Lake,Drug,3
2018-01-01,Court admission,Male,Black,25-29,Lake,Property,1
2018-01-01,Court admission,Male,Black,25-29,Lee,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Logan,Drug,1
2018-01-01,Court admission,Male,Black,25-29,Macon,Drug,1
2018-01-01,Court admission,Male,Black,25-29,Madison,Property,1
2018-01-01,Court admission,Male,Black,25-29,Madison,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,McHenry,Drug,1
2018-01-01,Court admission,Male,Black,25-29,McHenry,Property,1
2018-01-01,Court admission,Male,Black,25-29,McHenry,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Peoria,Drug,2
2018-01-01,Court admission,Male,Black,25-29,Peoria,Person,2
2018-01-01,Court admission,Male,Black,25-29,Peoria,Public Order,3
2018-01-01,Court admission,Male,Black,25-29,St. Clair,Person,2
2018-01-01,Court admission,Male,Black,25-29,St. Clair,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Stephenson,Property,1
2018-01-01,Court admission,Male,Black,25-29,Stephenson,Public Order,1
2018-01-01,Court admission,Male,Black,25-29,Will,Drug,3
2018-01-01,Court admission,Male,Black,25-29,Will,Person,1
2018-01-01,Court admission,Male,Black,25-29,Will,Property,1
2018-01-01,Court admission,Male,Black,25-29,Will,Public Order,3
2018-01-01,Court admission,Male,Black,25-29,Winnebago,Drug,2
2018-01-01,Court admission,Male,Black,25-29,Winnebago,Person,4
2018-01-01,Court admission,Male,Black,25-29,Winnebago,Property,1
2018-01-01,Court admission,Male,Black,25-29,Winnebago,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Alexander,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Champaign,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Champaign,Person,1
2018-01-01,Court admission,Male,Black,30-34,Cook,Drug,21
2018-01-01,Court admission,Male,Black,30-34,Cook,Person,12
2018-01-01,Court admission,Male,Black,30-34,Cook,Property,6
2018-01-01,Court admission,Male,Black,30-34,Cook,Public Order,17
2018-01-01,Court admission,Male,Black,30-34,DuPage,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Jefferson,Person,1
2018-01-01,Court admission,Male,Black,30-34,Kane,Property,1
2018-01-01,Court admission,Male,Black,30-34,Kankakee,Person,1
2018-01-01,Court admission,Male,Black,30-34,Lake,Person,1
2018-01-01,Court admission,Male,Black,30-34,Lake,Public Order,2
2018-01-01,Court admission,Male,Black,30-34,Macon,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Macon,Person,1
2018-01-01,Court admission,Male,Black,30-34,Madison,Person,1
2018-01-01,Court admission,Male,Black,30-34,McLean,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Moultrie,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Pike,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Randolph,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Rock Island,Public Order,1
2018-01-01,Court admission,Male,Black,30-34,Sangamon,Person,1
2018-01-01,Court admission,Male,Black,30-34,St. Clair,Drug,1
2018-01-01,Court admission,Male,Black,30-34,St. Clair,Person,3
2018-01-01,Court admission,Male,Black,30-34,Stephenson,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Vermilion,Person,1
2018-01-01,Court admission,Male,Black,30-34,Will,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Will,Person,1
2018-01-01,Court admission,Male,Black,30-34,Williamson,Drug,1
2018-01-01,Court admission,Male,Black,30-34,Winnebago,Person,2
2018-01-01,Court admission,Male,Black,30-34,Winnebago,Property,1
2018-01-01,Court admission,Male,Black,30-34,Winnebago,Public Order,2
2018-01-01,Court admission,Male,Black,35-44,Adams,Property,1
2018-01-01,Court admission,Male,Black,35-44,Bond,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Boone,Person,1
2018-01-01,Court admission,Male,Black,35-44,Champaign,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Champaign,Person,1
2018-01-01,Court admission,Male,Black,35-44,Champaign,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,Coles,Person,1
2018-01-01,Court admission,Male,Black,35-44,Cook,Drug,25
2018-01-01,Court admission,Male,Black,35-44,Cook,Person,15
2018-01-01,Court admission,Male,Black,35-44,Cook,Property,11
2018-01-01,Court admission,Male,Black,35-44,Cook,Public Order,27
2018-01-01,Court admission,Male,Black,35-44,DeKalb,Drug,1
2018-01-01,Court admission,Male,Black,35-44,DuPage,Property,1
2018-01-01,Court admission,Male,Black,35-44,DuPage,Public Order,2
2018-01-01,Court admission,Male,Black,35-44,Grundy,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Jackson,Person,1
2018-01-01,Court admission,Male,Black,35-44,Jackson,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,Kane,Drug,2
2018-01-01,Court admission,Male,Black,35-44,Kane,Person,1
2018-01-01,Court admission,Male,Black,35-44,Kane,Public Order,3
2018-01-01,Court admission,Male,Black,35-44,Kankakee,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Kankakee,Person,2
2018-01-01,Court admission,Male,Black,35-44,Kankakee,Property,1
2018-01-01,Court admission,Male,Black,35-44,Knox,Person,1
2018-01-01,Court admission,Male,Black,35-44,Lake,Drug,2
2018-01-01,Court admission,Male,Black,35-44,Macon,Drug,2
2018-01-01,Court admission,Male,Black,35-44,Macon,Property,1
2018-01-01,Court admission,Male,Black,35-44,Madison,Drug,1
2018-01-01,Court admission,Male,Black,35-44,McLean,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Peoria,Person,1
2018-01-01,Court admission,Male,Black,35-44,Perry,Person,1
2018-01-01,Court admission,Male,Black,35-44,Randolph,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,Rock Island,Drug,1
2018-01-01,Court admission,Male,Black,35-44,Schuyler,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,St. Clair,Person,1
2018-01-01,Court admission,Male,Black,35-44,St. Clair,Property,1
2018-01-01,Court admission,Male,Black,35-44,St. Clair,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,Stephenson,Drug,2
2018-01-01,Court admission,Male,Black,35-44,Stephenson,Person,1
2018-01-01,Court admission,Male,Black,35-44,Tazewell,Person,1
2018-01-01,Court admission,Male,Black,35-44,Vermilion,Person,3
2018-01-01,Court admission,Male,Black,35-44,Whiteside,Drug,3
2018-01-01,Court admission,Male,Black,35-44,Will,Person,1
2018-01-01,Court admission,Male,Black,35-44,Will,Property,1
2018-01-01,Court admission,Male,Black,35-44,Will,Public Order,1
2018-01-01,Court admission,Male,Black,35-44,Winnebago,Public Order,2
2018-01-01,Court admission,Male,Black,35-44,Woodford,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Champaign,Property,1
2018-01-01,Court admission,Male,Black,45-54,Cook,Drug,27
2018-01-01,Court admission,Male,Black,45-54,Cook,Person,5
2018-01-01,Court admission,Male,Black,45-54,Cook,Property,9
2018-01-01,Court admission,Male,Black,45-54,Cook,Public Order,13
2018-01-01,Court admission,Male,Black,45-54,DeKalb,Person,1
2018-01-01,Court admission,Male,Black,45-54,DuPage,Property,2
2018-01-01,Court admission,Male,Black,45-54,Grundy,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Jackson,Person,1
2018-01-01,Court admission,Male,Black,45-54,Kane,Person,1
2018-01-01,Court admission,Male,Black,45-54,Kane,Public Order,2
2018-01-01,Court admission,Male,Black,45-54,Kankakee,Property,1
2018-01-01,Court admission,Male,Black,45-54,Knox,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Lake,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Lake,Property,1
2018-01-01,Court admission,Male,Black,45-54,Macon,Public Order,1
2018-01-01,Court admission,Male,Black,45-54,McHenry,Person,1
2018-01-01,Court admission,Male,Black,45-54,McHenry,Public Order,1
2018-01-01,Court admission,Male,Black,45-54,McLean,Drug,2
2018-01-01,Court admission,Male,Black,45-54,Randolph,Person,1
2018-01-01,Court admission,Male,Black,45-54,Rock Island,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Sangamon,Property,1
2018-01-01,Court admission,Male,Black,45-54,St. Clair,Person,1
2018-01-01,Court admission,Male,Black,45-54,St. Clair,Property,1
2018-01-01,Court admission,Male,Black,45-54,St. Clair,Public Order,1
2018-01-01,Court admission,Male,Black,45-54,Whiteside,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Will,Drug,1
2018-01-01,Court admission,Male,Black,45-54,Will,Person,1
2018-01-01,Court admission,Male,Black,45-54,Will,Property,2
2018-01-01,Court admission,Male,Black,45-54,Will,Public Order,1
2018-01-01,Court admission,Male,Black,45-54,Williamson,Property,1
2018-01-01,Court admission,Male,Black,45-54,Winnebago,Person,1
2018-01-01,Court admission,Male,Black,45-54,Winnebago,Public Order,1
2018-01-01,Court admission,Male,Black,55-64,Champaign,Person,1
2018-01-01,Court admission,Male,Black,55-64,Champaign,Public Order,1
2018-01-01,Court admission,Male,Black,55-64,Cook,Drug,10
2018-01-01,Court admission,Male,Black,55-64,Cook,Person,4
2018-01-01,Court admission,Male,Black,55-64,Cook,Property,5
2018-01-01,Court admission,Male,Black,55-64,Cook,Public Order,3
2018-01-01,Court admission,Male,Black,55-64,Kane,Person,1
2018-01-01,Court admission,Male,Black,55-64,Kane,Public Order,1
2018-01-01,Court admission,Male,Black,55-64,Kankakee,Drug,1
2018-01-01,Court admission,Male,Black,55-64,Lake,Drug,1
2018-01-01,Court admission,Male,Black,55-64,Lake,Property,1
2018-01-01,Court admission,Male,Black,55-64,Macon,Property,1
2018-01-01,Court admission,Male,Black,55-64,Macon,Public Order,1
2018-01-01,Court admission,Male,Black,55-64,Peoria,Person,1
2018-01-01,Court admission,Male,Black,55-64,St. Clair,Public Order,1
2018-01-01,Court admission,Male,Black,55-64,Winnebago,Drug,1
2018-01-01,Court admission,Male,Black,55-64,Winnebago,Public Order,1
2018-01-01,Court admission,Male,Black,65-74,Boone,Public Order,1
2018-01-01,Court admission,Male,Black,65-74,DuPage,Property,1
2018-01-01,Court admission,Male,Black,65-74,Kane,Person,1
2018-01-01,Court admission,Male,Black,65-74,Lake,Property,1
2018-01-01,Court admission,Male,Black,65-74,Stephenson,Public Order,1
2018-01-01,Court admission,Male,Hispanic,18-19,Cook,Person,1
2018-01-01,Court admission,Male,Hispanic,18-19,Cook,Public Order,4
2018-01-01,Court admission,Male,Hispanic,18-19,Kane,Public Order,1
2018-01-01,Court admission,Male,Hispanic,18-19,Lake,Property,1
2018-01-01,Court admission,Male,Hispanic,20-24,Boone,Person,1
2018-01-01,Court admission,Male,Hispanic,20-24,Bureau,Public Order,1
2018-01-01,Court admission,Male,Hispanic,20-24,Cook,Person,8
2018-01-01,Court admission,Male,Hispanic,20-24,Cook,Property,1
2018-01-01,Court admission,Male,Hispanic,20-24,Cook,Public Order,11
2018-01-01,Court admission,Male,Hispanic,20-24,DuPage,Person,1
2018-01-01,Court admission,Male,Hispanic,20-24,Henry,Public Order,1
2018-01-01,Court admission,Male,Hispanic,20-24,Kane,Public Order,1
2018-01-01,Court admission,Male,Hispanic,20-24,Knox,Drug,1
2018-01-01,Court admission,Male,Hispanic,20-24,Rock Island,Property,1
2018-01-01,Court admission,Male,Hispanic,20-24,Winnebago,Public Order,1
2018-01-01,Court admission,Male,Hispanic,20-24,Woodford,Person,1
2018-01-01,Court admission,Male,Hispanic,25-29,Cook,Drug,3
2018-01-01,Court admission,Male,Hispanic,25-29,Cook,Person,5
2018-01-01,Court admission,Male,Hispanic,25-29,Cook,Property,2
2018-01-01,Court admission,Male,Hispanic,25-29,Cook,Public Order,2
2018-01-01,Court admission,Male,Hispanic,25-29,DuPage,Drug,1
2018-01-01,Court admission,Male,Hispanic,25-29,DuPage,Person,1
2018-01-01,Court admission,Male,Hispanic,25-29,DuPage,Public Order,1
2018-01-01,Court admission,Male,Hispanic,25-29,Iroquois,Person,1
2018-01-01,Court admission,Male,Hispanic,25-29,Jefferson,Public Order,1
2018-01-01,Court admission,Male,Hispanic,25-29,Kane,Person,1
2018-01-01,Court admission,Male,Hispanic,25-29,Kane,Property,1
2018-01-01,Court admission,Male,Hispanic,25-29,Kendall,Drug,1
2018-01-01,Court admission,Male,Hispanic,25-29,Ogle,Drug,1
2018-01-01,Court admission,Male,Hispanic,25-29,Will,Property,1
2018-01-01,Court admission,Male,Hispanic,25-29,Will,Public Order,1
2018-01-01,Court admission,Male,Hispanic,25-29,Winnebago,Drug,1
2018-01-01,Court admission,Male,Hispanic,30-34,Boone,Drug,1
2018-01-01,Court admission,Male,Hispanic,30-34,Cook,Drug,4
2018-01-01,Court admission,Male,Hispanic,30-34,Cook,Person,4
2018-01-01,Court admission,Male,Hispanic,30-34,Cook,Property,1
2018-01-01,Court admission,Male,Hispanic,30-34,Cook,Public Order,6
2018-01-01,Court admission,Male,Hispanic,30-34,DuPage,Person,1
2018-01-01,Court admission,Male,Hispanic,30-34,Kane,Person,2
2018-01-01,Court admission,Male,Hispanic,30-34,Kane,Property,1
2018-01-01,Court admission,Male,Hispanic,30-34,Rock Island,Public Order,1
2018-01-01,Court admission,Male,Hispanic,30-34,Will,Drug,1
2018-01-01,Court admission,Male,Hispanic,30-34,Will,Public Order,1
2018-01-01,Court admission,Male,Hispanic,35-44,Cook,Drug,4
2018-01-01,Court admission,Male,Hispanic,35-44,Cook,Person,7
2018-01-01,Court admission,Male,Hispanic,35-44,Cook,Property,3
2018-01-01,Court admission,Male,Hispanic,35-44,Cook,Public Order,2
2018-01-01,Court admission,Male,Hispanic,35-44,DuPage,Drug,1
2018-01-01,Court admission,Male,Hispanic,35-44,DuPage,Person,1
2018-01-01,Court admission,Male,Hispanic,35-44,Henry,Drug,1
2018-01-01,Court admission,Male,Hispanic,35-44,Jersey,Public Order,1
2018-01-01,Court admission,Male,Hispanic,35-44,Lake,Public Order,2
2018-01-01,Court admission,Male,Hispanic,35-44,Union,Public Order,1
2018-01-01,Court admission,Male,Hispanic,35-44,Whiteside,Public Order,2
2018-01-01,Court admission,Male,Hispanic,45-54,Cook,Drug,4
2018-01-01,Court admission,Male,Hispanic,45-54,Cook,Person,1
2018-01-01,Court admission,Male,Hispanic,45-54,Cook,Property,2
2018-01-01,Court admission,Male,Hispanic,45-54,Cook,Public Order,2
2018-01-01,Court admission,Male,Hispanic,45-54,DuPage,Drug,1
2018-01-01,Court admission,Male,Hispanic,45-54,Henry,Drug,1
2018-01-01,Court admission,Male,Hispanic,45-54,Kane,Drug,1
2018-01-01,Court admission,Male,Hispanic,45-54,Kane,Person,1
2018-01-01,Court admission,Male,Hispanic,45-54,Will,Property,1
2018-01-01,Court admission,Male,Hispanic,45-54,Winnebago,Drug,1
2018-01-01,Court admission,Male,Hispanic,55-64,Cook,Drug,2
2018-01-01,Court admission,Male,Hispanic,55-64,Cook,Person,2
2018-01-01,Court admission,Male,Hispanic,55-64,Cook,Property,1
2018-01-01,Court admission,Male,Hispanic,55-64,Cook,Public Order,2
2018-01-01,Court admission,Male,Hispanic,55-64,Kane,Public Order,1
2018-01-01,Court admission,Male,Hispanic,55-64,McHenry,Drug,1
2018-01-01,Court admission,Male,White,18-19,Boone,Public Order,1
2018-01-01,Court admission,Male,White,18-19,DuPage,Property,1
2018-01-01,Court admission,Male,White,18-19,Fulton,Drug,1
2018-01-01,Court admission,Male,White,18-19,Hamilton,Property,1
2018-01-01,Court admission,Male,White,18-19,Henry,Property,1
2018-01-01,Court admission,Male,White,18-19,Knox,Property,1
2018-01-01,Court admission,Male,White,18-19,LaSalle,Property,1
2018-01-01,Court admission,Male,White,18-19,Lake,Drug,1
2018-01-01,Court admission,Male,White,18-19,Sangamon,Property,1
2018-01-01,Court admission,Male,White,18-19,Whiteside,Public Order,1
2018-01-01,Court admission,Male,White,20-24,Adams,Public Order,1
2018-01-01,Court admission,Male,White,20-24,Champaign,Property,1
2018-01-01,Court admission,Male,White,20-24,Clark,Property,1
2018-01-01,Court admission,Male,White,20-24,Clay,Property,1
2018-01-01,Court admission,Male,White,20-24,Coles,Property,1
2018-01-01,Court admission,Male,White,20-24,Cook,Drug,2
2018-01-01,Court admission,Male,White,20-24,Cook,Person,1
2018-01-01,Court admission,Male,White,20-24,Cook,Property,5
2018-01-01,Court admission,Male,White,20-24,DuPage,Property,1
